Processing: C:\learnova_app\textbooks\F5 Bahasa Melayu.pdf
Subject: MY-BahasaMalaysia  Form: 5  Pages: 11-276 of 276
  p268/276  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Menyampaikan Ucapan
  p269/276  SAVED  Bab 1: Disiplin dan Kecemerlangan dalam Gimnastik | 1.1.1 Mendengar dan Bertutur
  p270/276  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | 1.3.1 Mendengar dan Bertutur: Palitan Kecantikan
  p271/276  SAVED  Bab 1 | 1.1.2 Mendengar dan Bertutur
  p272/276  SAVED  Bab 1: Keunikan Kafe Hipster | 1.3.1 Mendengar dan Bertutur
  p273/276  SAVED  Bab 1: Dialog dan Perbualan | Dialog tentang Paya Bakau
  p274/276  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Mendengar dan Bertutur
  p275/276  SKIP  Halaman ini mengandungi borang janji pinjaman buku teks, bukan kandungan pengajaran Bahasa Malaysia SPM.
  p276/276  SKIP  (only 13 words)
------------------------------------------------------------
DONE: 207 saved, 59 skipped, 0 errors
Backup: C:\Learnova\MY-BahasaMalaysia_F5_results.json
DONE: 207 saved, 59 skipped, 0 errors
